id,rating,dem_candidate,dem_win_chance,rep_candidate,rep_win_chance,other_candidate,projected_margin,tooltip_title,tooltip_html
Kansas,Likely R,Adam Hamilton,0.1452231972,Roger Marshall*,0.8547768028,,R+7.4,Kansas,<strong>Likely R</strong><br><br><strong>Democratic:</strong> Adam Hamilton<br><strong>Republican:</strong> Roger Marshall*<br><br><strong>Projected margin:</strong> R+7.4<strong><br><br>Chance of victory:<br></strong> Republican 85.48% / Democrat 14.52%
Kentucky,Safe R,Charles Booker,0.0005857817788,Andy Barr,0.9994142182,,R+22.7,Kentucky,<strong>Safe R</strong><br><br><strong>Democratic:</strong> Charles Booker<br><strong>Republican:</strong> Andy Barr<br><br><strong>Projected margin:</strong> R+22.7<strong><br><br>Chance of victory:<br></strong> Republican 99.94% / Democrat 0.06%
Louisiana,Safe R,Democratic Nominee,0.00366542814,Republican Nominee,0.9963345719,,R+18.8,Louisiana,<strong>Safe R</strong><br><br><strong>Democratic:</strong> Democratic Nominee<br><strong>Republican:</strong> Republican Nominee<br><br><strong>Projected margin:</strong> R+18.8<strong><br><br>Chance of victory:<br></strong> Republican 99.63% / Democrat 0.37%
Maine,Toss-up,Troy Jackson,0.5742256867,Susan Collins*,0.4257743133,Tim Rich (Independent),D+1.3,Maine,<strong>Toss-up</strong><br><br><strong>Democratic:</strong> Troy Jackson<br><strong>Republican:</strong> Susan Collins*<br><strong>Other:</strong> Tim Rich (Independent)<br><br><strong>Projected margin:</strong> D+1.3<strong><br><br>Chance of victory:<br></strong> Republican 42.58% / Democrat 57.42%
Massachusetts,Safe D,Ed Markey*,0.9999920456,Republican Nominee,0.00000795438198,,D+30.2,Massachusetts,<strong>Safe D</strong><br><br><strong>Democratic:</strong> Ed Markey*<br><strong>Republican:</strong> Republican Nominee<br><br><strong>Projected margin:</strong> D+30.2<strong><br><br>Chance of victory:<br></strong> Republican 0.00% / Democrat 100.00%
Michigan,Lean D,Democratic Nominee,0.6373665746,Mike Rogers,0.3626334254,,D+2.5,Michigan,<strong>Lean D</strong><br><br><strong>Democratic:</strong> Democratic Nominee<br><strong>Republican:</strong> Mike Rogers<br><br><strong>Projected margin:</strong> D+2.5<strong><br><br>Chance of victory:<br></strong> Republican 36.26% / Democrat 63.74%
Minnesota,Likely D,Democratic Nominee,0.9112626685,Republican Nominee,0.08873733148,,D+9.4,Minnesota,<strong>Likely D</strong><br><br><strong>Democratic:</strong> Democratic Nominee<br><strong>Republican:</strong> Republican Nominee<br><br><strong>Projected margin:</strong> D+9.4<strong><br><br>Chance of victory:<br></strong> Republican 8.87% / Democrat 91.13%
Mississippi,Likely R,Scott Colom,0.06265552873,Cindy Hyde-Smith*,0.9373444713,Ty Pinkins (Independent),R+10.7,Mississippi,<strong>Likely R</strong><br><br><strong>Democratic:</strong> Scott Colom<br><strong>Republican:</strong> Cindy Hyde-Smith*<br><strong>Other:</strong> Ty Pinkins (Independent)<br><br><strong>Projected margin:</strong> R+10.7<strong><br><br>Chance of victory:<br></strong> Republican 93.73% / Democrat 6.27%
Montana,Safe R,Seth Bodnar (I),0.001434534838,Kurt Alme,0.9985654652,Seth Bodnar (Independent),R+20.9,Montana,<strong>Safe R</strong><br><br><strong>Democratic:</strong> Seth Bodnar (I)<br><strong>Republican:</strong> Kurt Alme<br><strong>Other:</strong> Seth Bodnar (Independent)<br><br><strong>Projected margin:</strong> R+20.9<strong><br><br>Chance of victory:<br></strong> Republican 99.86% / Democrat 0.14%
Nebraska,Likely R,Dan Osborn (I),0.1435996438,Pete Ricketts*,0.8564003562,,R+7.5,Nebraska,<strong>Likely R</strong><br><br><strong>Democratic:</strong> Dan Osborn (I)<br><strong>Republican:</strong> Pete Ricketts*<br><br><strong>Projected margin:</strong> R+7.5<strong><br><br>Chance of victory:<br></strong> Republican 85.64% / Democrat 14.36%
New Hampshire,Likely D,Chris Pappas,0.8318316379,John Sununu,0.1681683621,,D+6.7,New Hampshire,<strong>Likely D</strong><br><br><strong>Democratic:</strong> Chris Pappas<br><strong>Republican:</strong> John Sununu<br><br><strong>Projected margin:</strong> D+6.7<strong><br><br>Chance of victory:<br></strong> Republican 16.82% / Democrat 83.18%
New Jersey,Safe D,Cory Booker*,0.9954917589,Justin Murphy,0.004508241052,,D+18.3,New Jersey,<strong>Safe D</strong><br><br><strong>Democratic:</strong> Cory Booker*<br><strong>Republican:</strong> Justin Murphy<br><br><strong>Projected margin:</strong> D+18.3<strong><br><br>Chance of victory:<br></strong> Republican 0.45% / Democrat 99.55%
New Mexico,Safe D,Ben Ray Luján*,0.9907919197,Larry Marker,0.009208080288,,D+16.5,New Mexico,<strong>Safe D</strong><br><br><strong>Democratic:</strong> Ben Ray Luján*<br><strong>Republican:</strong> Larry Marker<br><br><strong>Projected margin:</strong> D+16.5<strong><br><br>Chance of victory:<br></strong> Republican 0.92% / Democrat 99.08%
North Carolina,Likely D,Roy Cooper,0.8178343715,Michael Whatley,0.1821656285,Shannon Bray (Libertarian),D+6.4,North Carolina,<strong>Likely D</strong><br><br><strong>Democratic:</strong> Roy Cooper<br><strong>Republican:</strong> Michael Whatley<br><strong>Other:</strong> Shannon Bray (Libertarian)<br><br><strong>Projected margin:</strong> D+6.4<strong><br><br>Chance of victory:<br></strong> Republican 18.22% / Democrat 81.78%
Ohio,Toss-up,Sherrod Brown,0.4641436074,Jon Husted*,0.5358563926,,R+0.6,Ohio,<strong>Toss-up</strong><br><br><strong>Democratic:</strong> Sherrod Brown<br><strong>Republican:</strong> Jon Husted*<br><br><strong>Projected margin:</strong> R+0.6<strong><br><br>Chance of victory:<br></strong> Republican 53.59% / Democrat 46.41%
Oklahoma,Safe R,Democratic Nominee,0.0000157145007,Kevin Hurn,0.9999842855,,R+29.1,Oklahoma,<strong>Safe R</strong><br><br><strong>Democratic:</strong> Democratic Nominee<br><strong>Republican:</strong> Kevin Hurn<br><br><strong>Projected margin:</strong> R+29.1<strong><br><br>Chance of victory:<br></strong> Republican 100.00% / Democrat 0.00%
Oregon,Safe D,Jeff Merkley*,0.9995980211,David Brock Smith,0.00040197888,,D+23.5,Oregon,<strong>Safe D</strong><br><br><strong>Democratic:</strong> Jeff Merkley*<br><strong>Republican:</strong> David Brock Smith<br><br><strong>Projected margin:</strong> D+23.5<strong><br><br>Chance of victory:<br></strong> Republican 0.04% / Democrat 99.96%
Rhode Island,Safe D,Jack Reed*,0.9999332742,Republican Nominee,0.00006672583703,,D+26.7,Rhode Island,<strong>Safe D</strong><br><br><strong>Democratic:</strong> Jack Reed*<br><strong>Republican:</strong> Republican Nominee<br><br><strong>Projected margin:</strong> D+26.7<strong><br><br>Chance of victory:<br></strong> Republican 0.01% / Democrat 99.99%
South Carolina,Likely R,Annie Andrews,0.1925407938,Darline Graham*,0.8074592062,,R+6.1,South Carolina,<strong>Likely R</strong><br><br><strong>Democratic:</strong> Annie Andrews<br><strong>Republican:</strong> Darline Graham*<br><br><strong>Projected margin:</strong> R+6.1<strong><br><br>Chance of victory:<br></strong> Republican 80.75% / Democrat 19.25%
South Dakota,Safe R,Julian Beaudion,0.0001048053572,Mike Rounds*,0.9998951946,,R+26.0,South Dakota,<strong>Safe R</strong><br><br><strong>Democratic:</strong> Julian Beaudion<br><strong>Republican:</strong> Mike Rounds*<br><br><strong>Projected margin:</strong> R+26.0<strong><br><br>Chance of victory:<br></strong> Republican 99.99% / Democrat 0.01%
Tennessee,Safe R,Democratic Nominee,0.000232629079,Bill Hagerty*,0.9997673709,,R+24.5,Tennessee,<strong>Safe R</strong><br><br><strong>Democratic:</strong> Democratic Nominee<br><strong>Republican:</strong> Bill Hagerty*<br><br><strong>Projected margin:</strong> R+24.5<strong><br><br>Chance of victory:<br></strong> Republican 99.98% / Democrat 0.02%
Texas,Toss-up,James Talarico,0.4274550554,Ken Paxton,0.5725449446,Ted Brown (Libertarian),R+1.3,Texas,<strong>Toss-up</strong><br><br><strong>Democratic:</strong> James Talarico<br><strong>Republican:</strong> Ken Paxton<br><strong>Other:</strong> Ted Brown (Libertarian)<br><br><strong>Projected margin:</strong> R+1.3<strong><br><br>Chance of victory:<br></strong> Republican 57.25% / Democrat 42.75%
Virginia,Safe D,Mark Warner*,0.997387762,Republican Nominee,0.00261223796,,D+19.6,Virginia,<strong>Safe D</strong><br><br><strong>Democratic:</strong> Mark Warner*<br><strong>Republican:</strong> Republican Nominee<br><br><strong>Projected margin:</strong> D+19.6<strong><br><br>Chance of victory:<br></strong> Republican 0.26% / Democrat 99.74%
West Virginia,Safe R,Rachel Fetty Anderson,0.00000002196399185,Shelley Moore Capito*,0.999999978,,R+38.3,West Virginia,<strong>Safe R</strong><br><br><strong>Democratic:</strong> Rachel Fetty Anderson<br><strong>Republican:</strong> Shelley Moore Capito*<br><br><strong>Projected margin:</strong> R+38.3<strong><br><br>Chance of victory:<br></strong> Republican 100.00% / Democrat 0.00%
Wyoming,Safe R,Democratic Nominee,0.0000000126329478,Harriet Hageman,0.9999999874,,R+39.0,Wyoming,<strong>Safe R</strong><br><br><strong>Democratic:</strong> Democratic Nominee<br><strong>Republican:</strong> Harriet Hageman<br><br><strong>Projected margin:</strong> R+39.0<strong><br><br>Chance of victory:<br></strong> Republican 100.00% / Democrat 0.00%
,,,,,,,,,
,,,,,,,,,
,,Democratic,49,43.42%,,,,,
,,Republican,51,56.58%,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Democratic,48,,,,,,
,,Republican,48,,,,,,
,,Toss-up,4,,,,,,
