District,Republican,Democrat,Projected Margin,Republican Odds,Democratic Odds,Rating
CA-12,N/A,Jamie Joyce/Lateefah Simon*,D+80.6,0.00%,100.00%,Safe D
CA-13,Kevin Lincoln,Adam Gray*,D+16.0,1.13%,98.87%,Safe D
CA-14,N/A,Melissa hernandez/Aisha Wahab,D+41.0,0.00%,100.00%,Safe D
CA-15,Charles Hoelter,Kevin Mullin*,D+52.3,0.00%,100.00%,Safe D
CA-16,Peter Soule,Sam Liccardo*,D+54.8,0.00%,100.00%,Safe D
CA-17,Ritesh Tandon,Ro Khanna*,D+44.8,0.00%,100.00%,Safe D
CA-18,Shane Lewis,Zoe Lofgren*,D+36.0,0.00%,100.00%,Safe D
CA-19,Peter Coe Verbica,Jimmy Panetta*,D+43.4,0.00%,100.00%,Safe D
CA-20,Vince Fong*,Sandra Van Scotter,R+28.2,100.00%,0.00%,Safe R
CA-21,Kyle Kirkland,Jim Costa*,D+16.1,1.07%,98.93%,Safe D
CA-22,David Valadao*,Randy Villegas,D+3.4,31.21%,68.79%,Lean D
CA-23,Jay Obernolte*,Tessa Lynn Hodge,R+13.8,97.57%,2.43%,Likely R
CA-24,Bob Smith,Salud Carbajal*,D+31.6,0.00%,100.00%,Safe D
CA-25,Joe Males,Raul Ruiz*,D+19.7,0.24%,99.76%,Safe D
CA-26,Sam Gallucci,Jacqui Irwin*,D+24.7,0.02%,99.98%,Safe D
CA-27,Jason Gibbs,George Whitesides*,D+21.4,0.11%,99.89%,Safe D
CA-28,April Verlato,Judy Chu*,D+34.3,0.00%,100.00%,Safe D
CA-29,N/A,Angelica Duenas/Luz Rivas,D+46.7,0.00%,100.00%,Safe D
CA-30,Scott Meyers,Laura Friedman*,D+44.8,0.00%,100.00%,Safe D
CA-31,Eric Ching,Gil Cisneros*,D+23.4,0.04%,99.96%,Safe D
CA-32,Larry Thompson,Brad Sherman*,D+32.9,0.00%,100.00%,Safe D
CA-33,Stephanie Vargas,Pete Aguilar*,D+23.8,0.03%,99.97%,Safe D
CA-34,N/A,Jimmy Gomez*/Angela Gonzales-Torres,D+60.7,0.00%,100.00%,Safe D
CA-35,Mike Cargile,Norma Torres*,D+21.6,0.10%,99.90%,Safe D
CA-36,Houston Brignano,Ted Lieu*,D+44.4,0.00%,100.00%,Safe D
CA-37,N/A,Sydney Kamlager-Dove*/Samantha Mota,D+68.9,0.00%,100.00%,Safe D
CA-38,Pedro Casas,Hilda Solis*,D+24.6,0.02%,99.98%,Safe D
CA-39,Steve Manos,Mark Takano*,D+21.3,0.12%,99.88%,Safe D
CA-40,Young Kim/Ken Calvert,N/A,R+10.5,93.34%,6.66%,Likely R
CA-41,Mitch Clemmons*,Linda Sanchez,D+25.5,0.01%,99.99%,Safe D
CA-42,Brian Burley,Robert Garcia*,D+23.3,0.04%,99.96%,Safe D
CA-43,Cristian Morales,Maxine Waters*,D+55.1,0.00%,100.00%,Safe D
CA-44,Genevieve Angel,Nanette Barragán*,D+47.7,0.00%,100.00%,Safe D
CA-45,Chuong Vo,Derek Tran*,D+15.4,1.40%,98.60%,Safe D
CA-46,David Pan,Lou Correa*,D+30.3,0.00%,100.00%,Safe D
CA-47,Jenny Le Roux,Dave Min*,D+20.0,0.21%,99.79%,Safe D
CA-48,Jim Desmond,Marni von Wilpert,D+7.7,13.66%,86.34%,Likely D
CA-49,Armen Kurdian,Mike Levin*,D+19.1,0.32%,99.68%,Safe D
CA-50,Steve Cohen,Scott Peters*,D+24.0,0.03%,99.97%,Safe D
CA-51,Ricardo Cabrera,Sara Jacobs*,D+24.4,0.02%,99.98%,Safe D
CA-52,Jeff Belle,Juan Vargas*,D+32.8,0.00%,100.00%,Safe D
CO-01,Christy Peterson,Melat Kiros,D+58.6,0.00%,100.00%,Safe D
CO-02,Kelley Dennison        ,Joe Neguse*,D+44.2,0.00%,100.00%,Safe D
CO-03,Jeff Hurd*,Dwayne Romero,R+3.9,71.13%,28.87%,Lean R
CO-04,Lauren Boebert*,Eileen Laubacher,R+4.2,72.53%,27.47%,Lean R
CO-05,Jeff Crank*,Jessica Killin,R+5.1,76.47%,23.53%,Likely R
CO-06,Mel Tewahade,Jason Crow*,D+27.3,0.00%,100.00%,Safe D
CO-07,Tim Bennett,Brittany Pettersen*,D+21.6,0.10%,99.90%,Safe D
CO-08,Gabe Evans*,Manny Rutinel,D+2.5,36.05%,63.95%,Lean D
CT-01,Amy Chai,Democratic Nominee,D+32.5,0.00%,100.00%,Safe D
CT-02,George Austin,Joe Courtney*,D+21.6,0.10%,99.90%,Safe D
CT-03,Republican Nominee,Rosa DeLauro*,D+24.3,0.03%,99.97%,Safe D
CT-04,Republican Nominee,Jim Himes*,D+30.3,0.00%,100.00%,Safe D
CT-05,Republican Nominee,Jahana Hayes*,D+14.1,2.20%,97.80%,Likely D
DE-01,Republican Nominee,Sarah McBride*,D+24.4,0.02%,99.98%,Safe D
FL-01,Jimmy Patronis*,Gay Valimont,R+27.0,99.99%,0.01%,Safe R
FL-02,Republican Nominee,Democratic Nominee,R+11.9,95.57%,4.43%,Likely R
FL-03,Kat Cammack*,Democratic Nominee,R+16.2,98.97%,1.03%,Safe R
FL-04,Aaron Bean*,Democratic Nominee,R+8.1,87.70%,12.30%,Likely R
FL-05,John Rutherford*,Democratic Nominee,R+16.8,99.18%,0.82%,Safe R
FL-06,Randy Fine*,Democratic Nominee,R+23.5,99.96%,0.04%,Safe R
FL-07,Cory Mills*,Democratic Nominee,R+4.1,72.29%,27.71%,Lean R
FL-08,Mike Haridopolos*,Democratic Nominee,R+12.7,96.55%,3.45%,Likely R
FL-09,Republican Nominee,Darren Soto*,R+5.1,76.77%,23.23%,Likely R
FL-10,Republican Nominee,Maxwell Frost*,D+32.3,0.00%,100.00%,Safe D
FL-11,Republican Nominee,Democratic Nominee,R+9.5,91.33%,8.67%,Likely R
FL-12,Gus Bilirakis*,Democratic Nominee,R+12.4,96.18%,3.82%,Likely R
FL-13,Anna Paulina Luna*,Democratic Nominee,R+4.8,75.13%,24.87%,Lean R
FL-14,Republican Nominee,Kathy Castor*,D+0.5,47.44%,52.56%,Toss-up
FL-15,Laurel Lee*,Democratic Nominee,R+14.1,97.78%,2.22%,Likely R
FL-16,Republican Nominee,Democratic Nominee,R+7.4,85.41%,14.59%,Likely R
FL-17,Greg Steube*,Democratic Nominee,R+17.6,99.41%,0.59%,Safe R
FL-18,Scott Franklin*,Democratic Nominee,R+12.7,96.50%,3.50%,Likely R
FL-19,Republican Nominee,Democratic Nominee,R+22.3,99.93%,0.07%,Safe R
FL-20,Republican Nominee,Debbie Wasserman-Schultz*,D+44.3,0.00%,100.00%,Safe D
FL-21,Brian Mast*,Democratic Nominee,R+14.5,98.11%,1.89%,Likely R
FL-22,Republican Nominee,Democratic Nominee,R+1.2,57.03%,42.97%,Toss-up
FL-23,Republican Nominee,Lois Frankel*,D+23.4,0.04%,99.96%,Safe D
FL-24,Patricia Gonazlez,Democratic Nominee,D+45.9,0.00%,100.00%,Safe D
FL-25,Republican Nominee,Jared Moskowitz*,D+1.0,44.49%,55.51%,Toss-up
FL-26,Mario Diaz-Balart*,Democratic Nominee,R+12.7,96.46%,3.54%,Likely R
FL-27,Maria Salazar*,Democratic Nominee,R+7.7,86.43%,13.57%,Likely R
FL-28,Carlos Gimenez*,Democratic Nominee,R+15.4,98.59%,1.41%,Safe R
GA-01,Jim Kingston,Amanda Hollowell,R+12.9,96.68%,3.32%,Likely R
GA-02,Matt Day,Sanford Bishop*,D+19.3,0.30%,99.70%,Safe D
GA-03,Brian Jack*,Maura Keller,R+26.2,99.99%,0.01%,Safe R
GA-04,James Duffie,Hank Johnson*,D+54.3,0.00%,100.00%,Safe D
GA-05,John Oscar Salvesen,Nikema Williams*,D+71.2,0.00%,100.00%,Safe D
GA-06,Kevin Martin,Lucy McBath*,D+51.3,0.00%,100.00%,Safe D
GA-07,Rich McCormick*,Anthony Kozycki,R+20.5,99.83%,0.17%,Safe R
GA-08,Austin Scott*,Kelly Esti,R+27.5,100.00%,0.00%,Safe R
GA-09,Andrew Clyde*,Caitlyn Gegen,R+29.7,100.00%,0.00%,Safe R
GA-10,Houston Gaines,Pam Delancy,R+18.1,99.51%,0.49%,Safe R
GA-11,John Cowan,Chris Harden,R+18.2,99.53%,0.47%,Safe R
GA-12,Rick Allen*,Ceretta Smith,R+13.6,97.38%,2.62%,Likely R
GA-13,Jonathan Chavez,Jasmine Clark,D+44.9,0.00%,100.00%,Safe D
GA-14,Clay Fuller*,Shawn Harris,R+24.7,99.98%,0.02%,Safe R
HI-01,Adriel Lam,Democratic Nominee,D+40.4,0.00%,100.00%,Safe D
HI-02,Brenton Awa,Democratic Nominee,D+38.1,0.00%,100.00%,Safe D
ID-01,Russ Fulcher*,Kaylee Peterson,R+37.6,100.00%,0.00%,Safe R
ID-02,Mike Simpson*,Ellie Gilbreath,R+23.3,99.96%,0.04%,Safe R
IL-01,Christian Maxwell,Jonathan Jackson*,D+38.9,0.00%,100.00%,Safe D
IL-02,Michael Noack,Donna Miller,D+38.7,0.00%,100.00%,Safe D
IL-03,Angel Oakley,Delia Ramirez*,D+40.1,0.00%,100.00%,Safe D
IL-04,Lupe Castillo,Patty Garcia,D+37.6,0.00%,100.00%,Safe D
IL-05,Tommy Hanson,Mike Quigley*,D+43.5,0.00%,100.00%,Safe D
IL-06,Niki Conforti,Sean Casten*,D+16.1,1.07%,98.93%,Safe D
IL-07,Chad Koppie,La Shawn Ford,D+65.5,0.00%,100.00%,Safe D
IL-08,Jennifer Davis,Melissa Bean,D+17.5,0.63%,99.37%,Safe D
IL-09,John Elleson,Daniel Biss,D+42.6,0.00%,100.00%,Safe D
IL-10,Carl Lambrecht,Brad Schneider*,D+28.3,0.00%,100.00%,Safe D
IL-11,Jeff Walter,Bill Foster*,D+19.3,0.29%,99.71%,Safe D
IL-12,Mike Bost*,Julie Fortier,R+38.5,100.00%,0.00%,Safe R
IL-13,Jeff Wilson,Nikki Budzinski*,D+20.6,0.16%,99.84%,Safe D
IL-14,James Marter,Lauren Underwood*,D+17.5,0.63%,99.37%,Safe D
IL-15,Mary Miller*,Jennifer Todd,R+36.1,100.00%,0.00%,Safe R
IL-16,Darin LaHood*,Paul Nolley,R+20.7,99.85%,0.15%,Safe R
IL-17,Dillan Vancil,Eric Sorensen*,D+15.3,1.45%,98.55%,Safe D
IN-01,Barb Regnitz,Frank Mrvan*,D+13.7,2.54%,97.46%,Likely D
IN-02,Rudy Yakym*,Jamee Decio,R+21.9,99.91%,0.09%,Safe R
IN-03,Marlin Stutzman*,Kelly Thompson,R+28.9,100.00%,0.00%,Safe R
IN-04,Jim Baird*,Drew Cox,R+26.8,99.99%,0.01%,Safe R
IN-05,Victoria Spartz*,J. D. Ford,R+12.0,95.73%,4.27%,Likely R
IN-06,Jefferson Shreve*,Cinde Wirth,R+28.2,100.00%,0.00%,Safe R
IN-07,Patrick McAuley,Andre Carson*,D+45.0,0.00%,100.00%,Safe D
IN-08,Mark Messmer*,Mary Allen,R+33.1,100.00%,0.00%,Safe R
IN-09,Erin Houchin*,Brad Meyer,R+25.1,99.98%,0.02%,Safe R
IA-01,Mariannette Miller-Meeks*,Christina Bohannan,D+5.0,23.58%,76.42%,Likely D
IA-02,Joe Mitchell,Lindsay James,R+1.3,57.14%,42.86%,Toss-up
IA-03,Zach Nunn*,Sarah Trone Garriott,D+1.2,43.19%,56.81%,Toss-up
IA-04,Chris McGowan,David Dawson,R+25.1,99.98%,0.02%,Safe R
KS-01,Tracey Mann*,Democratic Nominee,R+29.8,100.00%,0.00%,Safe R
KS-02,Derek Schmidt*,Don Coover,R+15.8,98.80%,1.20%,Safe R
KS-03,Republican Nominee,Sharice Davids*,D+17.3,0.67%,99.33%,Safe D
KS-04,Ron Estes*,Democratic Nominee,R+21.8,99.91%,0.09%,Safe R
KY-01,James Comer*,Drew Williams,R+41.0,100.00%,0.00%,Safe R
KY-02,Brett Guthrie*,Megan Wingfield,R+37.4,100.00%,0.00%,Safe R
KY-03,Maria Rodriquez,Morgan McGarvey*,D+25.4,0.01%,99.99%,Safe D
KY-04,Ed Gallrein,Melissa Strange,R+27.0,99.99%,0.01%,Safe R
KY-05,Hal Rogers*,Ned Pillersdorf,R+55.0,100.00%,0.00%,Safe R
KY-06,Ralph Alvarado,Zach Dembo,R+7.1,84.34%,15.66%,Likely R
LA-01,Steve Scalise*,Lauren Jewett,R+35.8,100.00%,0.00%,Safe R
LA-02,Republican Nominee,Troy Carter*,D+55.9,0.00%,100.00%,Safe D
LA-03,Clay Higgins*,Democratic Nominee,R+30.1,100.00%,0.00%,Safe R
LA-04,Mike Johnson*,Democratic Nominee,R+28.1,100.00%,0.00%,Safe R
LA-05,Republican Nominee,Democratic Nominee,R+26.4,99.99%,0.01%,Safe R
LA-06,Garret Graves,Cleo Fields*,R+18.9,99.65%,0.35%,Safe R
ME-01,Ronald Russell,Chellie Pingree*,D+29.2,0.00%,100.00%,Safe D
ME-02,Paul LePage,Matt Dunlap,R+4.1,72.05%,27.95%,Lean R
MD-01,Andy Harris*,Dan Schwartz,R+15.3,98.56%,1.44%,Safe R
MD-02,Dave Wallace,Johnny Olszewski*,D+27.0,0.01%,99.99%,Safe D
MD-03,Berney Flowers,Sarah Elfreth*,D+30.5,0.00%,100.00%,Safe D
MD-04,George McDermott,Glenn Ivey*,D+75.6,0.00%,100.00%,Safe D
MD-05,Chris Chaffee,Adrian Boafo,D+37.7,0.00%,100.00%,Safe D
MD-06,Robin Ficker,April McClain Delaney,D+15.7,1.23%,98.77%,Safe D
MD-07,Scott Collier,Kweisi Mfume*,D+64.1,0.00%,100.00%,Safe D
MD-08,Cheryl Riley,Jamie Raskin*,D+58.6,0.00%,100.00%,Safe D
MA-01,Republican Nominee,Richard Neal,D+24.6,0.02%,99.98%,Safe D
MA-02,Republican Nominee,Jim McGovern*,D+33.7,0.00%,100.00%,Safe D
MA-03,Gary Grossi,Lori Trahan*,D+29.3,0.00%,100.00%,Safe D
MA-04,Tom Stalcup,Jack Auchincloss*,D+30.0,0.00%,100.00%,Safe D
MA-05,Republican Nominee,Katherine Clark*,D+52.0,0.00%,100.00%,Safe D
MA-06,Micah Jones,Democratic Nominee,D+28.9,0.00%,100.00%,Safe D
MA-07,Republican Nominee,Ayanna Pressley*,D+68.9,0.00%,100.00%,Safe D
MA-08,Robert Burke,Stephen Lynch*,D+40.9,0.00%,100.00%,Safe D
MA-09,Republican Nominee,William Keating*,D+20.0,0.21%,99.79%,Safe D
MI-01,Jack Bergman*,Democratic Nominee,R+17.5,99.37%,0.63%,Safe R
MI-02,John Moolenaar*,Democratic Nominee,R+27.3,100.00%,0.00%,Safe R
MI-03,Republican Nominee,Hillary Scholten*,D+16.5,0.93%,99.07%,Safe D
MI-04,Bill Huizenga*,Democratic Nominee,R+3.7,70.24%,29.76%,Lean R
MI-05,Tim Walberg*,Christian Vukasovich,R+24.8,99.98%,0.02%,Safe R
MI-06,Heather Smiley,Debbie Dingell*,D+31.5,0.00%,100.00%,Safe D
MI-07,Tom Barrett*,Democratic Nominee,R+0.3,51.71%,48.29%,Toss-up
MI-08,Republican Nominee,Kristen McDonald Rivet*,D+14.3,2.03%,97.97%,Likely D
MI-09,Lisa McClain*,Ray Pooley,R+30.5,100.00%,0.00%,Safe R
MI-10,Republican Nominee,Democratic Nominee,R+0.0,50.17%,49.83%,Toss-up
MI-11,Ethan Baker,Democratic Nominee,D+23.1,0.05%,99.95%,Safe D
MI-12,James Hooper,Rashida Tlaib*,D+46.0,0.00%,100.00%,Safe D
MI-13,TP Nykoriak,Shri Thanedar*,D+47.8,0.00%,100.00%,Safe D
MN-01,Brad Finstad*,Democratic Nominee,R+8.8,89.64%,10.36%,Likely R
MN-02,Eric Pratt,Democratic Nominee,D+15.3,1.45%,98.55%,Safe D
MN-03,Republican Nominee,Kelly Morrison*,D+26.6,0.01%,99.99%,Safe D
MN-04,Republican Nominee,Betty McCollum*,D+39.8,0.00%,100.00%,Safe D
MN-05,Republican Nominee,Ilhan Omar*,D+56.9,0.00%,100.00%,Safe D
MN-06,Tom Emmer*,Democratic Nominee,R+17.2,99.29%,0.71%,Safe R
MN-07,Michelle Fischbach*,Democratic Nominee,R+32.5,100.00%,0.00%,Safe R
MN-08,Pete Stauber*,Democratic Nominee,R+11.4,94.84%,5.16%,Likely R
MS-01,Trent Kelly*,Cliff Johnson,R+31.2,100.00%,0.00%,Safe R
MS-02,Ron Eller,Bennie Thompson*,D+29.2,0.00%,100.00%,Safe D
MS-03,Michael Guest*,Michael Chiaradio,R+25.1,99.98%,0.02%,Safe R
MS-04,Mike Ezell*,Jeffrey Hulum III,R+37.6,100.00%,0.00%,Safe R
MO-01,Wesley Bell*,Democratic Nominee,D+63.6,0.00%,100.00%,Safe D
MO-02,Ann Wagner*,Democratic Nominee,R+7.5,85.90%,14.10%,Likely R
MO-03,Bod Onder*,Democratic Nominee,R+15.4,98.61%,1.39%,Safe R
MO-04,Mark Alford*,Democratic Nominee,R+17.6,99.40%,0.60%,Safe R
MO-05,Republican Nominee,Emanuel Cleaver*,R+9.3,90.78%,9.22%,Likely R
MO-06,Republican Nominee,Democratic Nominee,R+22.2,99.92%,0.08%,Safe R
MO-07,Eric Burlison*,Missi Hesketh,R+37.6,100.00%,0.00%,Safe R
MO-08,Jason Smith*,Democratic Nominee,R+45.2,100.00%,0.00%,Safe R
MT-01,Aaron Flint,Sam Forstag,R+4.8,75.31%,24.69%,Lean R
MT-02,Troy Downing*,Brian Miller,R+25.7,99.99%,0.01%,Safe R
NE-01,Mike Flood*,Chris Backemeyer,R+11.6,95.15%,4.85%,Likely R
NE-02,Brinker Harding,Denise Powell,D+9.5,8.69%,91.31%,Likely D
NE-03,Adrian Smith*,Becky Stille,R+48.3,100.00%,0.00%,Safe R
NV-01,Carrie Buck,Dina Titus*,D+13.3,2.88%,97.12%,Likely D
NV-02,David Flippo,Teresa Benitez-Thompson,R+6.3,81.52%,18.48%,Likely R
NV-03,Marty O'Donnell,Susie Lee*,D+9.4,8.97%,91.03%,Likely D
NV-04,Cody Whipple,Steven Horsford*,D+14.3,2.08%,97.92%,Likely D
NH-01,Republican Nominee,Democratic Nominee,D+8.8,10.36%,89.64%,Likely D
NH-02,Lily Tang Williams,Democratic Nominee,D+13.7,2.52%,97.48%,Likely D
NJ-01,Damon Galdo,Donald Norcross*,D+25.1,0.02%,99.98%,Safe D
NJ-02,Jeff Van Drew*,Zack Mullock,R+10.1,92.57%,7.43%,Likely R
NJ-03,Michael McGuire,Herb Conaway*,D+17.5,0.61%,99.39%,Safe D
NJ-04,Chris Smith*,Rachel Peace,R+27.2,99.99%,0.01%,Safe R
NJ-05,Sean Kirrane,Josh Gottheimer*,D+17.4,0.64%,99.36%,Safe D
NJ-06,Hillary Herzig,Frank Pallone*,D+21.1,0.13%,99.87%,Safe D
NJ-07,Thomas Kean Jr.*,Rebecca Bennett,D+3.1,33.10%,66.90%,Lean D
NJ-08,Republican Nominee,Rob Menendez*,D+36.4,0.00%,100.00%,Safe D
NJ-09,Rosie Pino,Nellie Pou*,D+15.1,1.57%,98.43%,Safe D
NJ-10,Carmen Bucco,LaMonica McIver*,D+55.6,0.00%,100.00%,Safe D
NJ-11,Joe Hathaway,Analilia Mejia*,D+20.5,0.17%,99.83%,Safe D
NJ-12,Gregg Mele,Adam Hamawy,D+31.0,0.00%,100.00%,Safe D
NM-01,Didi Okpareke,Melanie Stansbury*,D+20.9,0.14%,99.86%,Safe D
NM-02,Greg Cunningham,Gabe Vasquez*,D+9.4,8.99%,91.01%,Likely D
NM-03,Martin Zamora,Teresa Leger Fernández*,D+18.4,0.44%,99.56%,Safe D
NY-01,Nick LaLota*,Chris Gallant,R+3.4,68.69%,31.31%,Lean R
NY-02,Andrew Garbarino*,Patrick Halpin,R+11.9,95.57%,4.43%,Likely R
NY-03,Mike LiPetri,Tom Suozzi*,D+10.5,6.74%,93.26%,Likely D
NY-04,Jeanine Driscoll,Laura Gillen*,D+13.8,2.47%,97.53%,Likely D
NY-05,George Marsh,Gregory Meeks*,D+49.5,0.00%,100.00%,Safe D
NY-06,Joseph Chou,Grace Meng,D+28.2,0.00%,100.00%,Safe D
NY-07,Melvin Rivera,Claire Valdez,D+53.8,0.00%,100.00%,Safe D
NY-08,Lewis Mizrahi,Hakeem Jeffries*,D+52.5,0.00%,100.00%,Safe D
NY-09,Joel Anabilah-Azumah,Yvette Clark*,D+51.2,0.00%,100.00%,Safe D
NY-10,Jennifer Moore,Brad Lander,D+68.2,0.00%,100.00%,Safe D
NY-11,Nicole Malliotakis*,Michael DeCillis,R+19.6,99.74%,0.26%,Safe R
NY-12,Caroline Shinkle,Micah Lasher,D+65.5,0.00%,100.00%,Safe D
NY-13,Jomo M. Williams,Darializa Avila Chevalier,D+66.5,0.00%,100.00%,Safe D
NY-14,Diamant Hysenaj,Alexandria Ocasio-Cortez*,D+45.0,0.00%,100.00%,Safe D
NY-15,Gonzalo Duran,Richie Torres*,D+58.6,0.00%,100.00%,Safe D
NY-16,Joseph Cinquemani,George Latimer*,D+45.5,0.00%,100.00%,Safe D
NY-17,Mike Lawler*,Cait Conley,D+1.2,42.97%,57.03%,Toss-up
NY-18,Jacqueline Auringer,Pat Ryan*,D+19.2,0.30%,99.70%,Safe D
NY-19,Peter Oberacker,Josh Riley*,D+12.9,3.24%,96.76%,Likely D
NY-20,Ralph Ambrosio,Paul Tonko*,D+26.1,0.01%,99.99%,Safe D
NY-21,Anthony Constantino,Blake Gendebein,R+11.4,94.88%,5.12%,Likely R
NY-22,Kailee Buller,John Mannion*,D+19.5,0.27%,99.73%,Safe D
NY-23,Nick Langworthy*,Aaron Gies,R+21.7,99.90%,0.10%,Safe R
NY-24,Claudia Tenney*,Alissa Ellman,R+22.9,99.95%,0.05%,Safe R
NY-25,Virginia McIntyre,Joseph Morelle*,D+27.0,0.01%,99.99%,Safe D
NY-26,Dennis Hannon,Tim Kennedy*,D+31.7,0.00%,100.00%,Safe D
NC-01,Laurie Buckhout,Don Davis*,D+0.7,46.30%,53.70%,Toss-up
NC-02,Eugene Douglass,Deborah Ross*,D+40.1,0.00%,100.00%,Safe D
NC-03,Greg Murphy*,Raymond Smith Jr.,R+11.1,94.38%,5.62%,Likely R
NC-04,Max Ganorkar,Valerie Foushee*,D+50.8,0.00%,100.00%,Safe D
NC-05,Virginia Foxx*,Chuck Hubbard,R+11.2,94.47%,5.53%,Likely R
NC-06,Addison McDowell*,Cyril Jefferson,R+15.0,98.42%,1.58%,Safe R
NC-07,David Rouzer*,Kimberly Hardy,R+10.0,92.26%,7.74%,Likely R
NC-08,Mark Harris*,Colby Watson,R+15.1,98.46%,1.54%,Safe R
NC-09,Richard Hudson*,Richard Ojeda,R+11.5,94.92%,5.08%,Likely R
NC-10,Pat Harrigan*,Ashley Bell,R+14.5,98.10%,1.90%,Likely R
NC-11,Chuck Edwards*,Jamie Ager,R+1.7,59.54%,40.46%,Toss-up
NC-12,Jack Codiga,Alma Adams*,D+51.2,0.00%,100.00%,Safe D
NC-13,Brad Knott*,Paul Barringer,R+12.1,95.78%,4.22%,Likely R
NC-14,Tim Moore*,Lakesha Womack,R+12.2,95.98%,4.02%,Likely R
ND-01,Julie Fedorchak*,Democratic Nominee,R+31.5,100.00%,0.00%,Safe R
OH-01,Eric Conroy,Greg Landsman*,D+7.8,13.41%,86.59%,Likely D
OH-02,David Taylor*,Jennifer Mazzuckelli,R+37.0,100.00%,0.00%,Safe R
OH-03,Cleophus Dulaney,Joyce Beatty*,D+45.3,0.00%,100.00%,Safe D
OH-04,Jim Jordan*,Joshua Kolasinski,R+34.7,100.00%,0.00%,Safe R
OH-05,Bob Latta*,Brian Shaver,R+21.7,99.90%,0.10%,Safe R
OH-06,Michael Rulli*,Elizabeth Kirtley,R+28.0,100.00%,0.00%,Safe R
OH-07,Max Miller*,Brian Poindexter,D+0.9,45.00%,55.00%,Toss-up
OH-08,Warren Davidson*,Vanessa Enoch,R+11.6,95.13%,4.87%,Likely R
OH-09,Derek Merrin,Marcy Kaptur*,D+2.3,37.23%,62.77%,Lean D
OH-10,Mike Turner*,Kristina Knickerbocker,R+10.2,92.77%,7.23%,Likely R
OH-11,Mike Kirchner,Shontel Brown*,D+60.1,0.00%,100.00%,Safe D
OH-12,Troy Balderson*,Jerrad Christian,R+26.6,99.99%,0.01%,Safe R
OH-13,Carey Coleman,Emilia Sykes*,D+13.5,2.70%,97.30%,Likely D
OH-14,David Joyce*,Maria Jukic,R+19.8,99.77%,0.23%,Safe R
OH-15,Mike Carey*,Don Leonard,R+7.2,84.78%,15.22%,Likely R
OK-01,Mark Tedford*,John Croisant,R+17.8,99.44%,0.56%,Safe R
OK-02,Josh Brecheen*,Brandon Wade,R+45.6,100.00%,0.00%,Safe R
OK-03,Frank Lucas*,Democratic Nominee,R+39.6,100.00%,0.00%,Safe R
